,company,sector,inventory,cogs,sales,date,avg_inventory,company_name
59,AMD,Information Technology,761000000,2788000000,4267000000,2015-09-26,780000000.0,Advanced Micro Devices
60,AMD,Information Technology,678000000,3667000000,5506000000,2015-12-26,719500000.0,Advanced Micro Devices
61,AMD,Information Technology,675000000,704000000,1030000000,2016-03-26,676500000.0,Advanced Micro Devices
62,AMD,Information Technology,743000000,1414000000,1972000000,2016-06-25,709000000.0,Advanced Micro Devices
63,AMD,Information Technology,772000000,2236000000,3033000000,2016-09-24,757500000.0,Advanced Micro Devices
64,AMD,Information Technology,751000000,2911000000,3991000000,2016-12-31,761500000.0,Advanced Micro Devices
65,AMD,Information Technology,839000000,563000000,832000000,2017-04-01,795000000.0,Advanced Micro Devices
66,AMD,Information Technology,833000000,1271000000,1859000000,2017-07-01,836000000.0,Advanced Micro Devices
67,AMD,Information Technology,794000000,2519000000,3166000000,2017-09-30,813500000.0,Advanced Micro Devices
68,AMD,Information Technology,739000000,3274000000,4272000000,2017-12-30,766500000.0,Advanced Micro Devices
69,AMD,Information Technology,715000000,653000000,984000000,2018-03-31,727000000.0,Advanced Micro Devices
70,AMD,Information Technology,750000000,1471000000,2206000000,2018-06-30,732500000.0,Advanced Micro Devices
71,AMD,Information Technology,738000000,2541000000,3849000000,2018-09-29,744000000.0,Advanced Micro Devices
72,AMD,Information Technology,845000000,3506000000,5329000000,2018-12-29,791500000.0,Advanced Micro Devices
73,AMD,Information Technology,955000000,1050000000,1647000000,2019-03-30,900000000.0,Advanced Micro Devices
74,A,Health Care,646000000,1928000000,4505000000,2008-10-31,800500000.0,Agilent Technologies
75,A,Health Care,571000000,1518000000,3570000000,2009-07-31,608500000.0,Agilent Technologies
76,A,Health Care,552000000,2030000000,4804000000,2009-10-31,561500000.0,Agilent Technologies
77,A,Health Care,548000000,453000000,937000000,2010-01-31,550000000.0,Agilent Technologies
78,A,Health Care,546000000,889000000,1801000000,2010-04-30,547000000.0,Agilent Technologies
79,A,Health Care,688000000,1284000000,2636000000,2010-07-31,617000000.0,Agilent Technologies
80,A,Health Care,716000000,1692000000,3566000000,2010-10-31,702000000.0,Agilent Technologies
81,A,Health Care,797000000,421000000,976000000,2011-01-31,756500000.0,Agilent Technologies
82,A,Health Care,853000000,852000000,2005000000,2011-04-30,825000000.0,Agilent Technologies
83,A,Health Care,897000000,1379000000,3152000000,2011-07-31,875000000.0,Agilent Technologies
84,A,Health Care,898000000,1976000000,4464000000,2011-10-31,897500000.0,Agilent Technologies
85,A,Health Care,937000000,557000000,1258000000,2012-01-31,917500000.0,Agilent Technologies
86,A,Health Care,947000000,1179000000,2647000000,2012-04-30,942000000.0,Agilent Technologies
87,A,Health Care,1036000000,1822000000,4053000000,2012-07-31,991500000.0,Agilent Technologies
88,A,Health Care,1014000000,2473000000,5482000000,2012-10-31,1025000000.0,Agilent Technologies
89,A,Health Care,1040000000,601000000,1342000000,2013-01-31,1027000000.0,Agilent Technologies
90,A,Health Care,1042000000,1251000000,2777000000,2013-04-30,1041000000.0,Agilent Technologies
91,A,Health Care,1054000000,1927000000,4205000000,2013-07-31,1048000000.0,Agilent Technologies
92,A,Health Care,1066000000,2608000000,5659000000,2013-10-31,1060000000.0,Agilent Technologies
93,A,Health Care,1088000000,637000000,1380000000,2014-01-31,1077000000.0,Agilent Technologies
94,A,Health Care,1100000000,1311000000,2804000000,2014-04-30,1094000000.0,Agilent Technologies
95,A,Health Care,1099000000,1936000000,4139000000,2014-07-31,1099500000.0,Agilent Technologies
96,A,Health Care,1072000000,2576000000,5534000000,2014-10-31,1085500000.0,Agilent Technologies
97,A,Health Care,560000000,626000000,1366000000,2015-01-31,816000000.0,Agilent Technologies
98,A,Health Care,556000000,1278000000,2771000000,2015-04-30,558000000.0,Agilent Technologies
99,A,Health Care,545000000,1949000000,4209000000,2015-07-31,550500000.0,Agilent Technologies
100,A,Health Care,541000000,2673000000,5686000000,2015-10-31,543000000.0,Agilent Technologies
101,A,Health Care,554000000,395000000,815000000,2016-01-31,547500000.0,Agilent Technologies
102,A,Health Care,555000000,760000000,1574000000,2016-04-30,554500000.0,Agilent Technologies
103,A,Health Care,543000000,1140000000,2372000000,2016-07-31,549000000.0,Agilent Technologies
104,A,Health Care,533000000,1496000000,3146000000,2016-10-31,538000000.0,Agilent Technologies
105,A,Health Care,551000000,365000000,795000000,2017-01-31,542000000.0,Agilent Technologies
106,A,Health Care,548000000,722000000,1582000000,2017-04-30,549500000.0,Agilent Technologies
107,A,Health Care,566000000,1084000000,2380000000,2017-07-31,557000000.0,Agilent Technologies
108,A,Health Care,575000000,1464000000,3227000000,2017-10-31,570500000.0,Agilent Technologies
109,A,Health Care,608000000,349000000,818000000,2018-01-31,591500000.0,Agilent Technologies
110,A,Health Care,594000000,715000000,1660000000,2018-04-30,601000000.0,Agilent Technologies
111,A,Health Care,623000000,1083000000,2502000000,2018-07-31,608500000.0,Agilent Technologies
112,A,Health Care,638000000,1469000000,3410000000,2018-10-31,630500000.0,Agilent Technologies
113,A,Health Care,628000000,383000000,930000000,2018-11-01,633000000.0,Agilent Technologies
114,A,Health Care,653000000,785000000,1848000000,2019-01-31,640500000.0,Agilent Technologies
115,ALGN,Health Care,2046000,69536000,285798000,2009-12-31,327523000.0,Align Technology
116,ALGN,Health Care,2487000,31788000,137658000,2010-06-30,2266500.0,Align Technology
117,ALGN,Health Care,2382000,50278000,212748000,2010-09-30,2434500.0,Align Technology
118,ALGN,Health Care,2544000,71530000,295215000,2010-12-31,2463000.0,Align Technology
119,ALGN,Health Care,2867000,18607000,85422000,2011-03-31,2705500.0,Align Technology
120,ALGN,Health Care,6272000,36888000,188243000,2011-06-30,4569500.0,Align Technology
121,ALGN,Health Care,8278000,55978000,279413000,2011-09-30,7275000.0,Align Technology
122,ALGN,Health Care,9402000,74418000,366955000,2011-12-31,8840000.0,Align Technology
