company,date,price,return
A,2008-10-31,14.044913291931152,
A,2009-07-31,14.696837425231934,4.435812375399486
A,2009-10-31,15.658909797668457,6.143929461677924
A,2010-01-31,17.741273880004883,11.737398883646865
A,2010-04-30,22.950368881225586,22.697216886487485
A,2010-07-31,17.6779727935791,-29.824664565393473
A,2010-10-31,22.02627182006836,19.741420890518015
A,2011-01-31,26.475826263427734,16.80610228775276
A,2011-04-30,31.589963912963867,16.189121531213264
A,2011-07-31,26.6846981048584,-18.38231704488492
A,2011-10-31,23.463041305541992,-13.7307723980158
A,2012-01-31,26.880908966064453,12.71485151353072
A,2012-04-30,26.75754737854004,-0.46103473453382326
A,2012-07-31,24.35443115234375,-9.86726485691301
A,2012-10-31,22.95099449157715,-6.11492744369597
A,2013-01-31,28.626432418823242,19.825865284960283
A,2013-04-30,26.5670166015625,-7.751776754412163
A,2013-07-31,28.756324768066406,7.613310060175387
A,2013-10-31,32.70827865600586,12.08242698890484
A,2014-01-31,37.55645751953125,12.909041969690813
A,2014-04-30,34.986488342285156,-7.345604829222009
A,2014-07-31,36.39678955078125,3.874795623192051
A,2014-10-31,35.95459747314453,-1.2298624062388797
A,2015-01-31,34.42729568481445,-4.436310659752913
A,2015-04-30,37.80156707763672,8.926273839103548
A,2015-07-31,37.51144790649414,-0.7734150168390366
A,2015-10-31,34.68971252441406,-8.134213796364516
A,2016-01-31,34.68324279785156,-0.018653753341947497
A,2016-04-30,37.80465316772461,8.256682996203027
A,2016-07-31,44.56438446044922,15.16846103579385
A,2016-10-31,40.45923614501953,-10.146381164279655
A,2017-01-31,45.60537338256836,11.284058995372297
A,2017-04-30,51.39485168457031,11.26470475590469
A,2017-07-31,55.94445037841797,8.132350328001046
A,2017-10-31,63.785621643066406,12.29300751903981
A,2018-01-31,69.00110626220703,7.55855217642681
A,2018-04-30,61.912845611572266,-11.448772190354441
A,2018-07-31,62.34560012817383,0.6941219840884999
A,2018-10-31,61.29500198364258,-1.7140029537997516
A,2018-11-01,61.70180892944336,0.6593112144669357
A,2019-01-31,72.12552642822266,14.452189141597039
ADI,2008-11-01,14.067601203918457,-412.70664687404184
ADI,2009-08-01,18.608604431152344,24.40270705970767
ADI,2009-10-31,17.549884796142578,-6.032630113004899
ALGN,2009-12-31,17.81999969482422,1.5157963148568119
ALGN,2010-06-30,14.869999885559082,-19.838600080488316
ALGN,2010-09-30,19.579999923706055,24.055158613378968
ALGN,2010-12-31,19.540000915527344,-0.20470320524358815
ALGN,2011-03-31,20.479999542236328,4.589837147068318
ALGN,2011-06-30,22.799999237060547,10.175437598494065
ALGN,2011-09-30,15.170000076293945,-50.296632316369916
ALGN,2011-12-31,23.729999542236328,36.0724805354787
ALGN,2012-03-31,27.549999237060547,13.865698005847909
AMD,2009-12-26,9.90999984741211,-178.00201474528717
AMD,2010-06-26,8.09000015258789,-22.496905568561992
AMD,2010-09-25,6.840000152587891,-18.274853393491032
AMD,2010-12-25,8.039999961853027,14.925370832819823
AMD,2011-04-02,8.359999656677246,3.8277477029395643
AMD,2011-07-02,7.110000133514404,-17.58086497454085
AMD,2011-10-01,5.079999923706055,-39.96063465149398
AMD,2011-12-31,5.400000095367432,5.925929000184642
AMD,2012-03-31,8.020000457763672,32.66833183107837
AMD,2012-06-30,5.730000019073486,-39.965103509030484
AMD,2012-09-29,3.369999885559082,-70.02967993047517
AMD,2012-12-29,2.2799999713897705,-47.80701437925474
AMD,2013-03-30,2.549999952316284,10.588234744132448
AMD,2013-06-29,4.079999923706055,37.5
AMD,2013-09-28,3.859999895095825,-5.699482761378882
AMD,2013-12-28,3.7799999713897705,-2.116400114062477
AMD,2014-03-29,3.880000114440918,2.5773231984957508
AMD,2014-06-28,4.110000133514404,5.596107338245181
AMD,2014-09-27,3.5999999046325684,-14.166673399784123
AMD,2014-12-27,2.6500000953674316,-35.849048116106424
AMD,2015-03-28,2.7200000286102295,2.573526930386246
AMD,2015-06-27,2.4700000286102295,-10.121457372640801
AMD,2015-09-26,1.7100000381469727,-44.44444289526593
AMD,2015-12-26,2.9200000762939453,41.43835638808273
AMD,2016-03-26,2.7899999618530273,-4.659502373418533
AMD,2016-06-25,4.880000114440918,42.82787097490332
AMD,2016-09-24,6.550000190734863,25.496183628455487
AMD,2016-12-31,11.34000015258789,42.239858001764716
AMD,2017-04-01,14.550000190734863,22.06185564307438
AMD,2017-07-01,12.479999542236328,-16.586544266231645
AMD,2017-09-30,12.75,2.1176506491268383
AMD,2017-12-30,10.279999732971191,-24.027240575763255
AMD,2018-03-31,10.050000190734863,-2.288552615634432
AMD,2018-06-30,14.989999771118164,32.955301239573046
AMD,2018-09-29,30.889999389648438,51.472968380370155
AMD,2018-12-29,17.81999969482422,-73.34455622140314
AMD,2019-03-30,25.520000457763672,30.172416241461963
AMGN,2008-12-31,39.06145095825195,34.66704428097434
AMGN,2009-06-30,35.808021545410156,-9.085755851425471
AMGN,2009-09-30,40.7388916015625,12.103594040745147
AMGN,2009-12-31,38.2633171081543,-6.46983764217513
AMGN,2010-03-31,40.47510528564453,5.464564358464308
AMGN,2010-06-30,35.57804870605469,-13.764264083309493
AMGN,2010-09-30,37.27578353881836,4.554524872684916
AMGN,2010-12-31,37.13372802734375,-0.3825511711886443
AMGN,2011-03-31,36.15298843383789,-2.71274833974146
AMGN,2011-06-30,39.467288970947266,8.397588543639529
AMGN,2011-09-30,37.377140045166016,-5.592051513988345
AMGN,2011-12-31,43.882205963134766,14.823926407513847
